VillianFault 32,2023-02-21T17:15:28.104Z
VillianFault 33,2023-02-21T17:15:34.099Z
fighterSwitched 31,2023-02-21T17:15:41.982Z
fighterSwitched 32,2023-02-21T17:15:48.351Z
fighterUndefined 13,2023-02-21T17:15:54.181Z
fighterSwitched 33,2023-02-21T17:15:57.303Z
VillianFault 34,2023-02-21T17:16:02.002Z
fighterSwitched 34,2023-02-21T17:16:05.506Z
fighterUndefined 14,2023-02-21T17:16:22.878Z
VillianFault 35,2023-02-21T17:16:28.412Z
fighterSwitched 35,2023-02-21T17:16:39.900Z
VillianFault 36,2023-02-21T17:16:44.668Z
VillianFault 37,2023-02-21T17:16:50.784Z
fighterSwitched 36,2023-02-21T17:16:54.429Z
fighterSwitched 37,2023-02-21T17:17:01.026Z
fighterSwitched 38,2023-02-21T17:17:18.557Z
VillianFault 38,2023-02-21T17:17:23.509Z
VillianFault 39,2023-02-21T17:17:29.539Z
fighterSwitched 39,2023-02-21T17:17:37.109Z
VillianFault 40,2023-02-21T17:17:41.827Z
fighterSwitched 40,2023-02-21T17:17:45.470Z
fighterSwitched 41,2023-02-21T17:17:56.038Z
VillianFault 41,2023-02-21T17:18:04.809Z
fighterUndefined 15,2023-02-21T17:18:07.892Z
fighterSwitched 42,2023-02-21T17:18:11.035Z
fighterSwitched 43,2023-02-21T17:18:25.156Z
VillianFault 42,2023-02-21T17:18:33.971Z
fighterSwitched 44,2023-02-21T17:18:41.548Z
fighterSwitched 45,2023-02-21T17:18:55.873Z
fighterSwitched 46,2023-02-21T17:19:10.226Z
fighterSwitched 47,2023-02-21T17:19:16.715Z
VillianFault 43,2023-02-21T17:19:21.461Z
VillianFault 44,2023-02-21T17:19:27.409Z
fighterSwitched 48,2023-02-21T17:19:30.984Z
fighterUndefined 16,2023-02-21T17:19:36.451Z
fighterSwitched 49,2023-02-21T17:19:43.770Z
VillianFault 45,2023-02-21T17:19:52.430Z
fighterSwitched 50,2023-02-21T17:20:03.868Z
VillianFault 46,2023-02-21T17:20:08.562Z
fighterSwitched 51,2023-02-21T17:20:20.148Z
VillianFault 47,2023-02-21T17:20:25.312Z
VillianFault 48,2023-02-21T17:20:31.226Z
VillianFault 49,2023-02-21T17:20:41.108Z
fighterUndefined 17,2023-02-21T17:20:48.010Z
VillianFault 50,2023-02-21T17:20:53.541Z
